id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
207,往日过,äng3dik7go4,ɒŋ21nik4ko42,同见下方【往过】。,,,,hinghwa-RAG词典
208,往过,äng3go4,ɒŋ21ŋo42,以前；过去：我～有到许个地方。,,,又叫【往日过】见上方。,hinghwa-RAG词典
209,往时,äng3si2,ɒn13ni13,同见下方【往常时】。,,,,hinghwa-RAG词典
210,往转,äng3duai3,ɒn21nuai453,回来：厄紧～（快回来）。,,,,hinghwa-RAG词典
211,往常时,äng3süäng2si2,ɒn13nyɒn21ni13,以往，过去：～厝无起偌悬（以往房子没有盖得这么高）。,,,也叫【往时】见上方。,hinghwa-RAG词典
212,瓮,äng4,ɒŋ42,小洞。,,,,hinghwa-RAG词典
213,蕹菜,äng4cai4,ɒn55nai42,空心菜。,,,,hinghwa-RAG词典
214,旺梨,äng5lai2,ɒn21nai13,菠萝。△蜀果买～，三果倩侬刣（一个钱买菠萝，三个钱雇人削皮。菠萝表面坑坑洼洼，很难削）。,,,,hinghwa-RAG词典
215,平,ba2,pa13,表面没有高低凹凸，像静止的水面一样:地势①。②口音合于当地的：者个侬讲话～。,,,,hinghwa-RAG词典
216,平平,ba2ba2,pa13a42,一样：两件衫～长,,,,hinghwa-RAG词典
217,平扯,ba2ce3,pa21tshe453,扯平：今旦钱还了咯，现时齐厮～咯。,,,,hinghwa-RAG词典
218,平直,ba2dik7,pa21tiʔ4,清楚；公正合理：话讲到～（把话说清楚）,,,,hinghwa-RAG词典
219,平底脚,ba2de3kä1,pa21le13ɒ533,平底足。足弓低平。,,,,hinghwa-RAG词典
220,平洋,ba2iao2,pa21iau13,小块平原。,,,又叫【洋】在第102页。,hinghwa-RAG词典
221,平悬平大,ba2iao2,ba2ge2ba2dua5pa21e13pa42lua21,个子一样高大。②地位一样高：我甲伊～，无惊伊。,,,,hinghwa-RAG词典
222,平煞,ba2sak6,pa42ɬaʔ1,平息，罢休：伊那无乞我赔礼道歉，我笃伓肯～。,,,,hinghwa-RAG词典
223,白仁,ba2zing2,pa21liŋ13,眼球的玻璃体部分。,,,,hinghwa-RAG词典
224,白公,ba2gäng1,pa21kɒŋ533,,,,同【丁心公】在第50页。,hinghwa-RAG词典
225,白玉兰,ba2gëk7lang2,pa21kœt1laŋ13,白兰花。,,,,hinghwa-RAG词典
226,白头□,ba2tao2kë3,pa21lau21khø453,头屑。,,,,hinghwa-RAG词典
227,白吐红,ba2tou4häng2,pɛt1thɔu42hɒŋ13,一种花，龙吐珠。,,,,hinghwa-RAG词典
228,白肉,ba2nëk7,pa21nœʔ4,肥肉。,,,,hinghwa-RAG词典
229,白豆,ba2dao5,pa42lau21,眉豆。,,,,hinghwa-RAG词典
230,白纸乌字,ba2züä3ou1zi5,pa21lyɒ453ɔu13li21,白纸黑字：△～，留落尾就是凭据（留下的字就是凭证）。,,,,hinghwa-RAG词典
231,白纸簿,ba2züä3pou5,pa21lyɒ13ɔu21,没有格子的本子。,,,,hinghwa-RAG词典
232,白肥,ba2bui2,pa21ui13,又白又胖：者呆囝白～大好看。,,,,hinghwa-RAG词典
233,白虹,ba2käng2,pa42khɒŋ21,日月周围的白色晕圈。△青虹～，曝死老蚌（日月周围出现白色或青色的晕圈，预兆天大旱）。,,,,hinghwa-RAG词典
234,白食肥,ba2sia7bui2,pa21lia21pui13,只吃饭不吃下饭的菜。,,,,hinghwa-RAG词典
235,白食咸,ba2sia7giang2,pa21lia21kiaŋ13,只吃下饭的菜，不吃饭。,,,,hinghwa-RAG词典
236,白瓷,ba2hui2,pa21hui13,瓷器。,,,,hinghwa-RAG词典
