id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
2902,眩,hüng2,hyŋ13,晕：伊乞～街头,,,,hinghwa-RAG词典
2903,眩过,hüng2go4,hyŋ55ŋo42,由昏迷而死亡。,,,,hinghwa-RAG词典
2904,狠,hüng3,hyŋ453,忙：伊那～～到者咯笃行（他匆匆忙忙到这儿，马上笃走）,,,,hinghwa-RAG词典
2905,伊,i1,i533,他；她。,,,,hinghwa-RAG词典
2906,伊许厝,i1buai4hü3cou4,i55muai55hŋ13nɔu42,他家。,,,,hinghwa-RAG词典
2907,伊厝,i1cou4,i55lɔu533,他（她）家。,,,,hinghwa-RAG词典
2908,伊厝许厝,i1cou4hü3cou4,i55lɔu55hn21nɔu42,他（她）家。,,,,hinghwa-RAG词典
2909,伊辈,i1buai4,i55muai55,他们。,,,,hinghwa-RAG词典
2910,衣裳师父,i1siao2sai1hu5,i21liau13lai13u21,裁缝。也称做衫阿。,,,,hinghwa-RAG词典
2911,衣裳店,i1siao2de4,i21liau55le42,裁缝店。,,,,hinghwa-RAG词典
2912,衣裳衫裤,i1siao2sä1kou4,i21liau21lɒ13ɔu42,泛指身上穿的各种衣裳服装。,,,,hinghwa-RAG词典
2913,衣裳铰刀,i1siao2gä1do1,i21liau21kɒt1lo533,裁缝师傅剪布料用的剪刀。,,,,hinghwa-RAG词典
2914,倚㢊,i1ua3,ua453,依靠：两个老公妈厮～。,,,,hinghwa-RAG词典
2915,饴馃,i2guai3,i55uai453,年糕。糯米与粳米按七比三的比例混合，磨成浆，滤干，拌合红糖揉制，蒸熟。一般油煎了吃。,,,,hinghwa-RAG词典
2916,姨丈,i2niao5,i42niau21,姨夫（姨姨的丈夫）。,,,,hinghwa-RAG词典
2917,姨妈,i2ma3,i21ma453,祖母的姐妹。,,,,hinghwa-RAG词典
2918,胰皂,i2zäk7,i21lɒʔ4,肥皂。,,,,hinghwa-RAG词典
2919,胰皂沫,i2zäk7päk7,i21lɒp4phɒʔ4,肥皂泡。,,,,hinghwa-RAG词典
2920,胰皂粉,i2zäk7hong3,i21lɒʔ1hɔŋ453,洗衫粉。,,,,hinghwa-RAG词典
2921,胰皂盒,i2zäk7äk7,i21lɒʔ1ɒʔ4,肥皂盒。,,,,hinghwa-RAG词典
2922,移乌移兰,i2ou1i2lang2,i21ɔu55i21laŋ13,染布。,,,,hinghwa-RAG词典
2923,椅古,i3gou3,i21kɔu453,凳子。,,,,hinghwa-RAG词典
2924,椅囝,i3güä3,,小椅子。,,,,hinghwa-RAG词典
2925,椅囝坐,i3güä3së5,i21ai453ɬø21,请坐。,,,,hinghwa-RAG词典
2926,椅囝面,i3güä3ming4,i21ia13miŋ42,椅子用于坐人的那一面。,,,,hinghwa-RAG词典
2927,椅囝脚,i3güä3kä1,i21ia13khɒ533,支撑整只椅的四个脚。,,,,hinghwa-RAG词典
2928,椅条,i3diao2,i13liau13,长凳。,,,,hinghwa-RAG词典
2929,意思工,i4so1gang1,i21lo55kaŋ533,走过场；应付：△粗粗～（走过场应付一下）。,,,,hinghwa-RAG词典
2930,㜲,ia1,ia13,撒娇：张那～～。,,,,hinghwa-RAG词典
2931,㜲气,ia2kui4,ia13khui42,娇气。,,,,hinghwa-RAG词典
2932,野,ia3,ia453,好动；贪玩：者呆囝连天～。②玩：蜀日～都无歇。,,,,hinghwa-RAG词典
2933,野丈夫,ia3da5bou1,ia13lap1pɔu533,泼辣凶狠的女人。,,,,hinghwa-RAG词典
2934,野芦荟,ia3lou2huai5,ia21lɔu42uai21,龙舌兰。,,,,hinghwa-RAG词典
2935,野拉,ia3lä2,ia13lɒ13,随地大小便：者头猪尽行～。,,,,hinghwa-RAG词典
2936,野味甜,ia3bi5ding1,ia21i13liŋ533,鲜甜。,,,,hinghwa-RAG词典
2937,□,ia4,ia42,试：我～看会使得勿会（我试试看能不能用）。,,,,hinghwa-RAG词典
2938,□侬,ia5nang2,ia42naŋ13,背人。,,,,hinghwa-RAG词典
2939,夜壶,ia5hou2,ø21ɔu13,男性用的尿壶。,,,,hinghwa-RAG词典
2940,夜婆,ia5bo2,ia21o13,飞蛾。,,,,hinghwa-RAG词典
2941,亦,iak6,aʔ1,副词，也：我～卜去,,,,hinghwa-RAG词典
2942,亦敢,iak6gä3,ak1kɒ453,或许：～复早卜好天。,,,,hinghwa-RAG词典
2943,曳,iak7,ia13,招：手～蜀下，车就开过来。②搧：～扇。,,,,hinghwa-RAG词典
2944,芫荽炕（豆腐）,iang1sui1käng4（dao5hu2）,ian21ɬui55khɒn55tau42,芫荽炖豆腐。,,,,hinghwa-RAG词典
2945,芫荽葱,iang1sui1cang1,ian21ɬui13laŋ533,泛指调味品。,,,,hinghwa-RAG词典
2946,腌,iang1,iaŋ533,腌渍：芥菜～,,,,hinghwa-RAG词典
2947,盐卤,iang2lou3,ian42lɔu21,卤水。,,,,hinghwa-RAG词典
2948,檐翼,iang2sik7,ian21ɬiʔ4,屋檐。,,,也叫【尾翼】在第26页。,hinghwa-RAG词典
2949,檐翼下,iang2sik7ä5,ian21ɬiʔ4ɒ21,屋檐下。△在侬～（在人矮檐下）。,,,,hinghwa-RAG词典
2950,焰,iang5,iaŋ21,（火）旺：火大～。,,,,hinghwa-RAG词典
2951,夭邪,iao1sia2,iau21ɬia13,心术不正；行为不正派。,,,,hinghwa-RAG词典
2952,夭使面,iao1sai3ming4,iau21lai13miŋ42,喻容易变脸：起夭使面（喻突然变脸）。,,,,hinghwa-RAG词典
2953,泱,iao1,iau533,粘糊状：地下～～。,,,,hinghwa-RAG词典
2954,枵,iao1,iau533,肚子空，与“饱”相对：腹肚～。,,,,hinghwa-RAG词典
2955,烊,iao1,iau533,熔化：～金拍金手指。,,,,hinghwa-RAG词典
2956,腰子,iao1zi3,iau21li453,用于食用的猪肾。,,,,hinghwa-RAG词典
2957,腰方,iao1häng1,iau21ɒŋ533,腰部。,,,,hinghwa-RAG词典
2958,羊月能,iao2neng1,iau21nɛŋ13,羊奶。,,,,hinghwa-RAG词典
2959,羊月能草,iao2eng1cao3,iau21nɛn13nau453,一种草。撕裂叶片，断裂处会有白色乳汁冒出。,,,,hinghwa-RAG词典
2960,羊母,iao2bo3,iau21βo453,母羊。,,,,hinghwa-RAG词典
2961,羊芒衫,iao2mung2sä1,iau21muŋ13nɒ533,用羊毛编制加工的毛衣。,,,,hinghwa-RAG词典
2962,羊囝,iao2güä3,iau21yɒ453,小羊。△～落地十八倒（小羊刚生下时，得经过多次的摔倒之后，最终才能站立得稳。喻从小经历磨难）。,,,,hinghwa-RAG词典
2963,羊咩,iao2me3,iau21ma533,羊。,,,,hinghwa-RAG词典
2964,羊屎面,iao2sai3ming4,iau21lai13miŋ42,发怒。,,,,hinghwa-RAG词典
2965,羊屎核,iao2sai3hok7,iau21lai21hɔʔ4,羊粪便。△～落地平平大（喻人生而平等）。,,,,hinghwa-RAG词典
2966,羊眩,iao2hüng2,iau21yŋ12,癫痫。,,,,hinghwa-RAG词典
2967,羊羖,iao2gou3,iau21kɔu453,已阉割的公羊。△～迎悬脚（公羊抬脚，喻竞相哄抬物价）。,,,,hinghwa-RAG词典
2968,药丸,iao2uai2,iau21uai13,丸状药物。,,,,hinghwa-RAG词典
2969,药头,iao2tao2,iau21lau2,头煎草药。,,,,hinghwa-RAG词典
2970,药囝,iao2güä3,iau21yɒ453,二煎草药。,,,,hinghwa-RAG词典
2971,药孙,iao2song1,iau21lɔŋ533,三煎草药。,,,,hinghwa-RAG词典
2972,药针,iao2ziang1,iau21liaŋ533,打针用的液体药物。,,,,hinghwa-RAG词典
2973,药单,iao2dua1,iau21lua533,药方；处方。,,,,hinghwa-RAG词典
2974,药饼,iao2bia3,iau21mia453,饼状药物。,,,,hinghwa-RAG词典
2975,药胰,iao2i2,iau21i13,药皂。,,,,hinghwa-RAG词典
2976,药铳,iao2cëng5,iau42lœŋ21,土枪。也称鸟铳。,,,,hinghwa-RAG词典
2977,药粕,iao2po5,iau42pho21,中药熬汤后剩下的药渣子。,,,,hinghwa-RAG词典
2978,药棉,iao2ming2,iau21miŋ13,涂药膏的棉片。,,,,hinghwa-RAG词典
2979,药膏,iao2go1,iau21ko533,胶状药物。,,,,hinghwa-RAG词典
2980,洋,iao2,iau13,,,,同【平洋】在第8页。,hinghwa-RAG词典
2981,洋乜,iao2me5,iau21me13,青蛙。,,,,hinghwa-RAG词典
2982,洋乜角月,iao2me5gak6guai2,iau21me21kak4kuai13,蝌蚪。,,,,hinghwa-RAG词典
2983,洋布,iao2bou4,iau55βɔu42,旧时称机器织的平纹布。,,,,hinghwa-RAG词典
2984,洋灰,iao2huai1,iau21uai533,水泥，,,,也叫【红毛灰】在第3页。,hinghwa-RAG词典
2985,洋灯,iao2deng1,iau21lɛŋ533,带有玻璃护罩的煤油灯。,,,,hinghwa-RAG词典
2986,洋面侬,iao2ming4nang2,iau21min42naŋ13,家在平原上的人。,,,,hinghwa-RAG词典
2987,洋笔,iao2bik6,iau42miʔ1,铅笔。,,,,hinghwa-RAG词典
2988,洋笔转,iao2bik6zuang5,iau21mit4tsuaŋ21,削铅笔的转动削刀。,,,,hinghwa-RAG词典
2989,洋烛,iao2zäk6,iau42lɒʔ1,白蜡烛。,,,,hinghwa-RAG词典
2990,窑涂,iao2tou2,iau21lɔu13,可烧砖瓦的泥土。,,,,hinghwa-RAG词典
2991,摇橹,iao2lou3,iau21lɔu453,划船方式之一。橹板置于水中，靠把橹柄来回摇动来推动船舶前进。△介撑船，介～（比喻都由自己一个人做）。,,,,hinghwa-RAG词典
2992,舀糜,iao3ma2,iau13ma13,打饭。,,,,hinghwa-RAG词典
2993,要硬,iao4nge5,iau42ŋe21,硬是：一篮龙眼，～卜送乞我。,,,,hinghwa-RAG词典
2994,约,iao5,iau21,猜：～推（猜谜）,,,,hinghwa-RAG词典
2995,约推,iao5të1,iau21thø533,猜谜。,,,,hinghwa-RAG词典
2996,一死一偿,ik6si3ik6süäng2,it4ɬo453it4ɬyɒŋ13,杀人的偿命。,,,,hinghwa-RAG词典
2997,一行风,ik6ng2buai1,ɬɔʔ1ŋ13muai533,流行：现时妇女时行穿短裙，～。,,,,hinghwa-RAG词典
2998,一江风,ik6gang1häng1,ik4kaŋ21hɒŋ533,莆仙戏中点将出师或登第吹奏的曲牌。△另唱～（喻别树一帜或另起炉灶）。,,,,hinghwa-RAG词典
2999,一点一,ik6diang3ik6,it1tiaŋ13iʔ1,最好的。,,,,hinghwa-RAG词典
3000,一就,ik6ziu5,it4tsiu21,干脆；索性：天时无早咯，～都卖乞汝。,,,,hinghwa-RAG词典
3001,因明,ing1ming2,im21miŋ21,因为：～甚么齐拍爬起（因为什么打起来）。,,,,hinghwa-RAG词典
3002,阴阳槌,ing1üäng2tui2,iŋ21yɒn21thui13,由称为文的花鱼鼓和武的大鼓组成的打击乐，其鼓点节奏阴阳交替、对比变化大。,,,,hinghwa-RAG词典
3003,掩,ing1,iŋ533,以手掩遮:～目珠（用手遮住眼睛）,,,,hinghwa-RAG词典
3004,掩裙,ing1gong2,iŋ21ŋɔŋ13,围裙；围腰。,,,,hinghwa-RAG词典
3005,淹大水,ing1dua5zui3,in21nua13lui453,水灾。也说做大水。,,,,hinghwa-RAG词典
3006,缘此,ing2co3,in13tsho453,连词，所以：无日头，～天时偌寒,,,,hinghwa-RAG词典
3007,印,ing4,iŋ42,印章。,,,,hinghwa-RAG词典
3008,印涂墼,ing4tou2gek6,in55thɔu21kɛʔ1,印制土坯。,,,,hinghwa-RAG词典
3009,应嘴,ing4cui4,in55nui42,回嘴。,,,,hinghwa-RAG词典
3010,尤加,iu2ga1,iu55ka533,副词，更加；尤其：汝讲伊笃无听，我～,,,,hinghwa-RAG词典
3011,由,iu2,iu13,介词，从：～今旦起鼓,,,,hinghwa-RAG词典
3012,邮政分,iu2zing4hong1,iu21liŋ55ŋɔŋ533,邮票。,,,,hinghwa-RAG词典
3013,油（米时）,iu2si2,iu21ɬi13,莆仙特色食品。用糯米浆压成半干，拌红糖浆揉制成生坯，包豆沙甜馅，油炸而成的饼状食品。,,,,hinghwa-RAG词典
3014,油古,iu2gou3,iu21kɔu453,油桶。②健壮；有力气：后生囝连天～，卜担（可以挑）两百斤。,,,,hinghwa-RAG词典
3015,油布,iu2bou4,iu55βɔu42,塑料布；雨衣。,,,,hinghwa-RAG词典
3016,油耳,iu2hi2,iau13i21,外耳道炎。,,,,hinghwa-RAG词典
3017,油明柴,iu2ma2cä2,iu21mia21lɒ13,含油脂的木柴，可用于点火。,,,,hinghwa-RAG词典
3018,油卷帽,iu2gëng3bo5,iu21kœm13mo42,贝雷帽。,,,,hinghwa-RAG词典
3019,油炸鬼,iu2za4gui3,iu21tsa21kui453,油条。,,,,hinghwa-RAG词典
3020,油索,iu2so5,iu42ɬo21,麻花。,,,,hinghwa-RAG词典
3021,油堂,iu2dung2,iu21luŋ13,油坊。,,,,hinghwa-RAG词典
3022,油麻,iu2mua2,iu21mua13,芝麻。,,,,hinghwa-RAG词典
3023,油猴灯,iu2gao2deng1,iu21kau13lɛŋ533,煤油灯。,,,,hinghwa-RAG词典
3024,油斠,iu2gao4,iu55kau42,打油的提斗。,,,,hinghwa-RAG词典
3025,油漏,iu2lao5,iu42lau21,漏斗。,,,,hinghwa-RAG词典
3026,游灯,iu2deng1,iu21tɛŋ533,元宵夜以花灯队伍巡游境内。,,,,hinghwa-RAG词典
3027,游春,iu2cong1,iu21tshɔŋ533,莆仙过年风俗。正月初一，人们在吃过线面、拜年之后，纷纷出去游览风景名胜，称“游春”。△三十暝做岁，初一早～。,,,,hinghwa-RAG词典
3028,有道得财,iu3dä5dek6zai2,iu13lɒ21tɛt4tsai13,遵循规则谋生而得到财富：着～，伓通算行歪路。,,,,hinghwa-RAG词典
3029,幼,iu4,iu42,嫩：者菜食～～,,,,hinghwa-RAG词典
3030,幼豆,iu4dao5,iu42lau21,豌豆。,,,,hinghwa-RAG词典
3031,右爿,iu5be2,iu21βe13,右边，与“左爿”相对。,,,也叫【正爿】在第194页。,hinghwa-RAG词典
3032,坑,ka1,kha533,,,,同【山坑】在第171页。,hinghwa-RAG词典
3033,坑冻,ka1dang4,kha21laŋ42,棘胸蛙。,,,,hinghwa-RAG词典
3034,坑豅,ka1lang2,kha21laŋ13,,,,同【山坑】在第171页。,hinghwa-RAG词典
3035,坑豅落底,ka1lang2lo2de3,kha21lan21no13le453,深谷。,,,,hinghwa-RAG词典
3036,客鸟,ka5ziao3,kha55liau453,大喜鹊。体较大，尾巴长。,,,,hinghwa-RAG词典
3037,客边,ka5beng1,kha55pɛŋ533,参看【客囝】见下方。,,,,hinghwa-RAG词典
3038,客囝,ka5güä3,kha55yɒ453,外地人。,,,也叫【客边】见上方，含轻蔑意。,hinghwa-RAG词典
3039,客侬,ka5nang2,kha42naŋ13,外地人。,,,,hinghwa-RAG词典
3040,客话,ka5ua5,kha42ua21,外地方言。,,,,hinghwa-RAG词典
3041,客班,ka5bang1,kha55paŋ533,外地戏。△土地公看客班（喻看不懂，看了算白看）。,,,,hinghwa-RAG词典
3042,客婆,ka5bo2,kha42o13,外地女子。,,,,hinghwa-RAG词典
3043,客聘,ka5ping4,kha55phiŋ42,非本地；稀奇：榴莲是～厄水果。,,,,hinghwa-RAG词典
3044,开销,kai1siao1,khai21liau533,支付，花费：一个月～亦有大几百。,,,,hinghwa-RAG词典
3045,拾,kak6,khaʔ1,拾：～猪屎,,,,hinghwa-RAG词典
3046,拾大水柴,kak6dua5zui3cä2,khay4tua21lui13lɒ13,捞取被大水冲走的杉木；趁火打劫。,,,,hinghwa-RAG词典
3047,拾头拾缝,kak6tao2kak6pang4,khat1lau21kap4phaŋ42,见缝插针。,,,,hinghwa-RAG词典
3048,拾囝,kak6güä3,khak4kyɒ453,接生。,,,,hinghwa-RAG词典
3049,拾狗屎阿,kak6gao3sai3a1,khak4kau21lai453a533,捡大粪的。,,,,hinghwa-RAG词典
3050,拾话,kak6ua5,kaʔ4ua21,将别人的话特别是坏话传来传去：者个婶娘会～。,,,,hinghwa-RAG词典
3051,拾话根,kak6ua5güng1,khaʔ4ua21kyŋ533,从对方话语中寻找反对自己的意思来。,,,,hinghwa-RAG词典
3052,拾骨,kak6gok6,khak4koʔ1,收尸骨。,,,,hinghwa-RAG词典
3053,拾恨,kak6hüng5,khak4hyŋ42,记恨：～心肝里。,,,,hinghwa-RAG词典
3054,拾柴,kak6cä2,khat4tshɒ13,,,,同【讨柴】在第181页。,hinghwa-RAG词典
3055,拾基,kak6gi1,khak4ki533,盖房子垒基础。,,,,hinghwa-RAG词典
3056,拾着,kak6diao2,khat1tiau13,捡到的；,,,,hinghwa-RAG词典
3057,拾趁,kak6teng4,khat4thɛŋ42,意外收获。△拾趁食，～穿（开支都是白得到的）。,,,,hinghwa-RAG词典
3058,拾裥,kak6nge3,kak4ŋe453,叠衣服上的褶子。,,,,hinghwa-RAG词典
3059,拾稗,kak6pe4,khap4phe42,除稗草。,,,,hinghwa-RAG词典
3060,拾蠘脚,kak6ci2kä1,khat4tshi13khɒ533,喻钻空子。,,,,hinghwa-RAG词典
3061,磕,kak7,khaʔ4,轻触；碰：手～一下笃乞电着（手碰一下笃被电了）,,,,hinghwa-RAG词典
3062,空,kang1,khaŋ533,没有效果；徒然：～行（白走）。,,,,hinghwa-RAG词典
3063,空,kang1,khaŋ533,量词。用于①伤口：伤两～。②小动物的窠臼或洞口：蜀～蛇瓮。③钉、钻的洞：钻三～。,,,,hinghwa-RAG词典
3064,空手手,kang1ciu3ciu3,khan21niu13liu453,两手空空：出差一环（次）～甚么都无买。,,,,hinghwa-RAG词典
3065,空腹,kang1bak6,kham13maʔ1,空腹。②空心。,,,,hinghwa-RAG词典
3066,空嘴,kang1cui4,khan21nui42,伤口：～复未曾合。,,,,hinghwa-RAG词典
3067,□（上“冖”下“赣”的合字）平,kang3ba2,kam13pa13,扒土填平坑或小沟。,,,,hinghwa-RAG词典
3068,坎,kang3,khaŋ453,量词。①用于店面：三～拖（一个店铺由三个连续店面组成）。②用于茅坑。,,,,hinghwa-RAG词典
3069,看天自然,kang4teng1zo5zeng2,khan55thɛŋ55tso21lɛŋ13,顺其自然。,,,,hinghwa-RAG词典
3070,控痒,kang4siao5,khan42niau21,抓痒：拍许轻，准～（打得那么轻，只相当于抓痒）。,,,,hinghwa-RAG词典
3071,勘,kang4,khaŋ42,问：我伓知晓，汝去～伊（我不懂，你去问他）,,,,hinghwa-RAG词典
3072,勘带,kang4dua4,khan55nua42,打招呼：遇着头厮～（相遇时互相打招呼）。②问候：我今旦过来甲您～蜀下。,,,,hinghwa-RAG词典
3073,勘破,kang4pä4,kham55phɒ42,看透；识破：几十元钱无要紧，～一个侬。,,,,hinghwa-RAG词典
3074,勘路,kang4dou5,khan42tɔu21,问路：我伓知路，到头前～（我迷路了，到前面问路）。,,,,hinghwa-RAG词典
3075,嵌头,kang4tao2,khan42nau13,额头向前突出。,,,,hinghwa-RAG词典
3076,𠛅,kao1,khau533,雕；刻：～柴侬囝（雕木偶）。,,,,hinghwa-RAG词典
3077,𠛅印,kao1ing4,khau21iŋ42,刻印。,,,,hinghwa-RAG词典
3078,𠛅花,kao1hua1,khau21hua533,雕刻：眠床头有～。,,,,hinghwa-RAG词典
3079,抠气,kao1ki4,khau55khi42,难，与“容易”相对：做侬大～,,,,hinghwa-RAG词典
3080,抠扒,kao1bä2,khau21βɒ13,雕刻。,,,,hinghwa-RAG词典
3081,抠耳屎,kao1hi2sai3,khau21hi13lai453,掏耳朵。,,,,hinghwa-RAG词典
3082,抠屎手厄,kao1sai3ciu3ek6,khau21ɬai453tshiu13ɛ453,摊上难于收拾处理的事儿。,,,,hinghwa-RAG词典
3083,□,kao2,khau13,隔水炖：～牛奶。,,,,hinghwa-RAG词典
3084,拷相,kao2süäng1,khau55lyɒŋ42,照相。,,,,hinghwa-RAG词典
3085,哭灵,kao4leng2,khau42lɛŋ13,哭，骂人的话：汝大～，会者偌（这么）大声。,,,,hinghwa-RAG词典
3086,倥闇阿,käng1ang1a1,kɒŋ21ŋan55a533,呆子。,,,,hinghwa-RAG词典
3087,倥闇神,käng1ang1sing2,kɒŋ21ŋaŋ21ɬiŋ13,,,,同【倥闇】在第108页。,hinghwa-RAG词典
3088,脚骨,kägok6,khɒ13ko21,脚胫骨。△～拍断（折断）倒头勇（喻受挫折后反倒比原来更奋进）。,,,,hinghwa-RAG词典
3089,戈,kä1,khɒ533,量词。用于成双物体中的一个：蜀～鞋,,,,hinghwa-RAG词典
3090,坩,kä1,khɒ533,盛饭的陶钵。,,,又叫【坩物】见下方。,hinghwa-RAG词典
3091,坩囝,kä1güä3,khɒ21yɒ453,装食物的小钵子。,,,,hinghwa-RAG词典
3092,坩物,kä1muai2,khɒ21muai13,,,,同【坩】见上方。,hinghwa-RAG词典
3093,科扣,kä1kiao4,kho55khiau42,盘算。,,,,hinghwa-RAG词典
3094,脚扎,kä1zak6,khɒ13tsaʔ1,军人的绑腿。,,,,hinghwa-RAG词典
3095,脚车,kä1cia1,khɒ21lia533,自行车。,,,,hinghwa-RAG词典
3096,脚车卟,kä1cia1puk7,khɒ13lia13phuʔ4,摩托车。,,,,hinghwa-RAG词典
3097,脚车背,kä1cia1buai4,khɒ21lia13puai21,两轮载客自行车。,,,,hinghwa-RAG词典
3098,脚手,kä1ciu3,khɒ21liu453,部下，下属。,,,,hinghwa-RAG词典
3099,脚手轻,kä1ciu3king1,khɒ21liu453khiŋ533,勤快：伊～，我经常央伊做事体。,,,,hinghwa-RAG词典
3100,脚手疏软,kä1ciu3së1nuai3,khɒ21liu453ɬø21nuai453,四肢无力。,,,,hinghwa-RAG词典
3101,脚布,kä1bou4,khɒ21ɔu42,擦脚布。,,,,hinghwa-RAG词典
3102,脚目,kä1mak7,khɒ21maʔ4,踝关节。,,,,hinghwa-RAG词典
3103,脚仪,kä1gi2,khɒ21i13,莆仙戏演出时小旦的步法蹀步。△旦囝行～（喻慢吞吞地走）。,,,,hinghwa-RAG词典
3104,脚印,kä1ing4,khɒ21iŋ42,足迹。,,,,hinghwa-RAG词典
3105,脚囝,kä1güä3,khɒ21yɒ453,手下；部下。△头家一下指，～狠（忙）卜死（领导动个手指，手下忙半死）。,,,,hinghwa-RAG词典
3106,脚后𩨑,kä1ao5ta1,khɒ21au13ta533,,,,同【后脚𩨑】在第5页。,hinghwa-RAG词典
3107,脚花,kä1hua1,khɒ21hua533,经常走的路或去的地方成了习惯：行有～。,,,,hinghwa-RAG词典
3108,脚肚,kä1dou3,khɒ21lɔu453,腿。,,,,hinghwa-RAG词典
3109,脚肚大箍,kä1dou3dua5kou1,khɒ21lɔu453tua21khɔu533,管不了了。,,,,hinghwa-RAG词典
3110,脚肚头,kä1dou3tao2,khɒ21lɔu13thau13,膝盖。,,,,hinghwa-RAG词典
3111,脚肚头仁,kä1dou3tao2zing2,khɒ21lɔu13thau21tsiŋ13,髌骨。,,,,hinghwa-RAG词典
3112,脚肚肚,kä1dou3dou3,khɒ21lɔu21tɔu453,腿肚子。,,,,hinghwa-RAG词典
3113,脚肚弯,kä1dou3uang1,khɒ21lɔu13uaŋ533,腘。,,,,hinghwa-RAG词典
3114,脚疔,kä1deng1,khɒ21tɛŋ533,脚疮。,,,,hinghwa-RAG词典
3115,脚尾,kä1buai3,khɒ21uai453,睡觉时脚所在的那一头。,,,,hinghwa-RAG词典
3116,脚弯,kä1uang1,khɒ21uaŋ533,膝盖后弯处。也称脚肚头弯。,,,,hinghwa-RAG词典
3117,脚穿靴,kä1sëng5hüä1,khɒ533ɬœŋ55hyɒ533,,,,【脚涨】同见下方。,hinghwa-RAG词典
3118,脚涨,kä1dung3,khɒ55tuŋ42,脚涨肿。,,,也叫【脚穿靴】见上方。,hinghwa-RAG词典
3119,脚桶,kä1tang3,khɒ21laŋ453,洗脚、洗衣服的木盆。,,,,hinghwa-RAG词典
3120,脚兜,kä1dao1,khɒ21lau533,附近：我听者声音那（只）在者～。,,,在地名中也简称“兜”，如桥兜，井兜。也叫【脚兜围】见下方。,hinghwa-RAG词典
3121,脚兜围,kä1dao1ui2,khɒ21lau21ui13,,,,同【脚兜】见上方。,hinghwa-RAG词典
3122,脚液,kä1liao2,khɒ21liau13,脚气。,,,,hinghwa-RAG词典
3123,脚液味,kä1liao2bi5,khɒ21liau42pi21,脚臭味。,,,,hinghwa-RAG词典
3124,脚趁嘴食,kä1teng4cui4sia2,khɒ55thɛn42tshui42ɬia21,卖苦力，自己养活自己。,,,,hinghwa-RAG词典
3125,脚掌甲,kä1zing3gak6,khɒ21liŋ13ŋɒ21,脚指甲。,,,,hinghwa-RAG词典
3126,脚碗面,kä1ua3ming4,khɒ21ua55miŋ42,脚足顶面。,,,,hinghwa-RAG词典
3127,脚溜底,kä1liu1de3,khɒ21iu55le453,脚接触地面的部分。,,,,hinghwa-RAG词典
3128,脚缝下,kä1bang2ä5,khɒ21aŋ42ŋɒ21,胯下。,,,,hinghwa-RAG词典
3129,脚箬,kä1niao2,khɒ21niau13,脚板。,,,,hinghwa-RAG词典
3130,脚踏,kä1dä2,khɒ21tɒ13,自行车的踏板。,,,,hinghwa-RAG词典
3131,脚臁,kä1liang2,khɒ21liaŋ13,胫骨，即脚腿正面包皮的小骨处。△椅囝踢～（喻很迟摸黑回家）。,,,,hinghwa-RAG词典
3132,茭置饭,kä2ti4buai5,kɒ21li42muai13,草包饭。用咸草编成的橐钻（草包）装米蒸熟的饭，带有咸草香味。,,,,hinghwa-RAG词典
3133,可,kä3,khɒ453,合算：我物乇厄好，甲伊换无～（我东西好，与她换不合算）,,,,hinghwa-RAG词典
3134,可伤,kä3süäng1,khɒ21ɬyɒŋ533,值得怜悯，可怜：看伊病许重，大～。,,,,hinghwa-RAG词典
3135,考无入,kä3bo2dik7,khɒ453po21tiʔ4,考试没有被录取：伊考三年公务员，～。,,,,hinghwa-RAG词典
3136,考有入,kä3u5dik7,khɒ453u21tiʔ4,考试被录取。,,,,hinghwa-RAG词典
3137,茭置,kä3di4,kɒ13li42,用咸草编织而成的小草包，旧时乞丐用于装饭。△卜做乞食，～袋亦着□（喻做事要有起码的工具）。,,,,hinghwa-RAG词典
3138,个人照,kä4zing2ziao4,khɒ55liŋ55tsiau42,单人照片。,,,,hinghwa-RAG词典
3139,敲𡋯,kä4puai2,khɒ55βuai13,用锄头将翻耕在畦面上的泥土敲碎，用于播种蚕豆。,,,,hinghwa-RAG词典
3140,敲霜,kä4sung1,khɒ55luŋ533,霜冻：果树～都死落尾（果树遭霜打都死了）。,,,,hinghwa-RAG词典
3141,敲螺,kä4lë2,khɒ42lø13,棒椎螺，,,,也叫【塔螺】在第177页。,hinghwa-RAG词典
3142,（上“冖”下“赣”）,kä5,kɒ21,盖：～被。△介（自己）是无被～，复烦恼阿姨铺顶～棕蓑（喻不知自己落魄，还挂虑他人的不幸）。,,,,hinghwa-RAG词典
3143,籱,kä5,khɒ21,用竹篾编成的鱼篓，颈部小，腹大：△蜀～蜀雨笠碗（盆满钵满）。,,,,hinghwa-RAG词典
3144,磕尾手,käk7buai3ciu3,khap1puai13tshiu453,最后一个碰某个东西或接手某个事情，要对接手时的状况（往往是不好的情况）及后果负责。,,,,hinghwa-RAG词典
3145,磕着,käk7diao2,khat4tiau13,碰到：两架车齐厮～。②对不起。不小心碰到别人时的礼貌用语。,,,,hinghwa-RAG词典
3146,空气鞋,käng1ki4e2,khɒŋ21khi42e13,凉鞋。,,,,hinghwa-RAG词典
3147,框板,käng1bang3,khɒm21maŋ453,旧式木床铺底面铺的供人睡觉的木板。,,,,hinghwa-RAG词典
3148,倥闇,käng1ang1,khɒŋ21ŋaŋ533,痴呆。,,,也叫【倥闇神】在第106页。,hinghwa-RAG词典
